State,County,Year,Poverty Rate
Minnesota,Redwood County,2011,10.54
Minnesota,Redwood County,2010,10.54
Minnesota,Redwood County,2009,10.54
Minnesota,Renville County,2018,10.54
Minnesota,Renville County,2017,11.0
Minnesota,Renville County,2016,10.95
Minnesota,Renville County,2015,11.1
Minnesota,Renville County,2014,11.11
Minnesota,Renville County,2013,11.23
Minnesota,Renville County,2012,11.22
Minnesota,Renville County,2011,11.14
Minnesota,Renville County,2010,11.14
Minnesota,Renville County,2009,11.14
Minnesota,Rice County,2018,10.7
Minnesota,Rice County,2017,10.7
Minnesota,Rice County,2016,11.71
Minnesota,Rice County,2015,11.71
Minnesota,Rice County,2014,11.44
Minnesota,Rice County,2013,11.44
Minnesota,Rice County,2012,10.82
Minnesota,Rice County,2011,10.99
Minnesota,Rice County,2010,8.48
Minnesota,Rice County,2009,7.94
Minnesota,Rock County,2018,1.65
Minnesota,Rock County,2017,9.74
Minnesota,Rock County,2016,10.89
Minnesota,Rock County,2015,11.18
Minnesota,Rock County,2014,11.41
Minnesota,Rock County,2013,11.41
Minnesota,Rock County,2012,11.89
Minnesota,Rock County,2011,11.95
Minnesota,Rock County,2010,11.95
Minnesota,Rock County,2009,11.95
Minnesota,Roseau County,2018,11.95
Minnesota,Roseau County,2017,9.32
Minnesota,Roseau County,2016,9.24
Minnesota,Roseau County,2015,10.58
Minnesota,Roseau County,2014,10.65
Minnesota,Roseau County,2013,9.44
Minnesota,Roseau County,2012,9.37
Minnesota,Roseau County,2011,10.39
Minnesota,Roseau County,2010,10.39
Minnesota,Roseau County,2009,10.39
Minnesota,Scott County,2018,52.79
Minnesota,Scott County,2017,5.81
Minnesota,Scott County,2016,5.73
Minnesota,Scott County,2015,5.74
Minnesota,Scott County,2014,5.71
Minnesota,Scott County,2013,5.71
Minnesota,Scott County,2012,5.2
Minnesota,Scott County,2011,5.22
Minnesota,Scott County,2010,5.22
Minnesota,Scott County,2009,5.22
Minnesota,Sherburne County,2018,5.22
Minnesota,Sherburne County,2017,6.45
Minnesota,Sherburne County,2016,6.95
Minnesota,Sherburne County,2015,7.82
Minnesota,Sherburne County,2014,7.9
Minnesota,Sherburne County,2013,7.9
Minnesota,Sherburne County,2012,7.92
Minnesota,Sherburne County,2011,7.97
Minnesota,Sherburne County,2010,7.97
Minnesota,Sherburne County,2009,7.97
Minnesota,Sibley County,2018,1.4
Minnesota,Sibley County,2017,7.12
Minnesota,Sibley County,2016,9.67
Minnesota,Sibley County,2015,10.35
Minnesota,Sibley County,2014,10.69
Minnesota,Sibley County,2013,10.69
Minnesota,Sibley County,2012,12.7
Minnesota,Sibley County,2011,12.73
Minnesota,Sibley County,2010,12.73
Minnesota,Sibley County,2009,12.73
Minnesota,St. Louis County,2018,12.73
Minnesota,St. Louis County,2017,15.33
Minnesota,St. Louis County,2016,15.5
Minnesota,St. Louis County,2015,15.93
Minnesota,St. Louis County,2014,16.03
Minnesota,St. Louis County,2013,16.24
Minnesota,St. Louis County,2012,16.13
Minnesota,St. Louis County,2011,16.1
